PROCESSO,ID_ENTIDADE,NUMBTE,DATABTE,SERIEBTE,AMBITO_GEOGRAFICO
2.4.14.385.2009.2-DOT,1.325.1,27,2009.07.22 00:00:00,0,NACIONAL
2.5.14.384.2009.2-DOT,5.554.0,27,2009.07.22 00:00:00,0,NACIONAL
2.4.14.259.2008.1-DOT,1.577.0,28,2009.07.29 00:00:00,0,NACIONAL
2.6.14.391.2009.1-DOT,9.667.0,28,2009.07.29 00:00:00,0,
2.5.14.407.2009.7-DOT,5.487.2,30,2009.08.15 00:00:00,0,NACIONAL
2.6.14.439.2009.4-DOT,9.569.0,30,2009.08.15 00:00:00,0,
2.6.14.460.2009.7-DOT,9.666.0,32,2009.08.29 00:00:00,0,
2.4.14.471.2009.7-DOT,1.331.0,33,2009.09.08 00:00:00,0,NACIONAL
2.6.16.473.2009.4-DOT,9.671.0,33,2009.09.08 00:00:00,0,
2.6.14.508.2009.1-DOT,9.387.1,38,2009.10.15 00:00:00,0,
2.4.14.519.2009.1-DOT,1.361.2,40,2009.10.29 00:00:00,0,NACIONAL
2.6.14.562.2009.1-DOT,9.490.0,42,2009.11.15 00:00:00,0,
2.4.13.570.2009.6-DOT,1.585.0,43,2009.11.22 00:00:00,0,
2.4.14.596.2009.6-DOT,1.324.1,45,2009.12.08 00:00:00,0,PLURIDISTRITAL
2.5.14.136.2010.7-DOT,5.125.1,11,2010.03.22 00:00:00,0,NACIONAL
2.6.14.85.2010.2-DOT,9.621.1,8,2010.02.28 00:00:00,0,
2.4.13.600.2010.1-DOT,2.53.0,14,2010.04.15 00:00:00,0,NACIONAL
2.4.14.763.2010.3-DOT,1.103.2,16,2010.04.29 00:00:00,0,NACIONAL
2.4.13.800.2010.3-DOT,3.50.0,17,2010.05.08 00:00:00,0,DISTRITAL
2.5.14.594.2010.6-DOT,5.357.1,17,2010.05.08 00:00:00,0,CONCELHIA
2.4.14.797.2010.1-DOT,1.395.1,17,2010.05.08 00:00:00,0,PLURIDISTRITAL
2.6.14.746.2010.6-DOT,9.655.0,17,2010.05.08 00:00:00,0,
2.5.18.510.2010.7-DOT,5.592.0,17,2010.05.08 00:00:00,0,
2.4.14.785.2010.7-DOT,1.574.0,17,2010.05.08 00:00:00,0,NACIONAL
2.6.14.746.2010.6-DOT,9.655.0,17,2010.05.08 00:00:00,0,
2.6.14.880.2010.5-DOT,9.671.0,21,2010.06.08 00:00:00,0,
2.5.14.925.2010.4-DOT,8.2.1,24,2010.06.29 00:00:00,0,NACIONAL
2.4.14.907.2010.3-DOT,1.328.1,24,2010.06.29 00:00:00,0,NACIONAL
2.4.14.914.2010.1-DOT,1.467.0,25,2010.07.08 00:00:00,0,NACIONAL
2.6.14.1033.2010.5-DOT,9.214.0,28,2010.07.29 00:00:00,0,
2.6.14.1110.2010.1-DOT,9.658.0,33,2010.09.08 00:00:00,0,
2.4.14.1063.2010.6-DOT,2.36.0,29,2010.08.08 00:00:00,0,NACIONAL
2.5.14.1040.2010.2-DOT,5.362.2,28,2010.07.29 00:00:00,0,NACIONAL
2.5.14.1041.2010.3-DOT,5.345.1,28,2010.07.29 00:00:00,0,NACIONAL
2.6.14.1167.2010.4-DOT,9.498.0,38,2010.10.15 00:00:00,0,
2.6.14.1201.2010.2-DOT,9.168.1,40,2010.10.29 00:00:00,0,
2.6.14.1202.2010.3-DOT,9.555.0,40,2010.10.29 00:00:00,0,
2.6.14.1216.2010.8-DOT,9.638.0,40,2010.10.29 00:00:00,0,
2.5.14.1169.2010.5-DOT,5.542.1,40,2010.10.29 00:00:00,0,NACIONAL
2.5.14.1251.2010.6-DOT,8.1.2,43,2010.11.22 00:00:00,0,NACIONAL
2.4.85.14.2010.0-DOT,1.538.0,43,2010.11.22 00:00:00,0,NACIONAL
2.5.14.1249.2010.4-DOT,5.497.2,43,2010.11.22 00:00:00,0,CONCELHIA
2.6.14.1303.2010.5-DOT,9.673.0,47,2010.12.22 00:00:00,0,
2.6.14.1305.2010.7-DOT,9.554.0,47,2010.12.22 00:00:00,0,
2.4.14.45.2011.6-DOT,1.482.0,4,2011.01.29 00:00:00,0,NACIONAL
2.5.14.51.2011.4-DOT,5.117.1,5,2011.02.08 00:00:00,0,NACIONAL
2.6.16.144.2011.1-DOT,9.686.0,9,2011.03.08 00:00:00,0,
2.5.14.91.2011.8-DOT,5.502.0,6,2011.02.15 00:00:00,0,NACIONAL
2.5.14.223.2011.5-DOT,5.250.1,12,2011.03.29 00:00:00,0,CONCELHIA
2.5.14.260.2011.6-DOT,5.507.1,14,2011.04.15 00:00:00,0,NACIONAL
2.4.14.384.2011.3-DOT,1.328.1,19,2011.05.22 00:00:00,0,NACIONAL
2.5.18.415.2010.2-DOT,5.373.0,19,2011.05.22 00:00:00,0,
2.6.16.394.2011.8-DOT,9.688.0,20,2011.05.29 00:00:00,0,
2.4.18.377.2010.8-DOT,1.386.0,20,2011.05.29 00:00:00,0,
2.6.16.405.2011.1-DOT,9.689.0,20,2011.05.29 00:00:00,0,
2.6.14.404.2011.7-DOT,9.671.0,21,2011.06.08 00:00:00,0,
2.6.14.461.2011.1-DOT,9.673.0,21,2011.06.08 00:00:00,0,
2.5.14.456.2011.4-DOT,5.73.1,21,2011.06.08 00:00:00,0,PLURIDISTRITAL
2.5.18.330.2010.7-DOT,5.17.1,21,2011.06.08 00:00:00,0,
2.5.18.561.2010.4-DOT,5.287.0,21,2011.06.08 00:00:00,0,
2.5.14.477.2011.7-DOT,5.190.1,22,2011.06.15 00:00:00,0,NACIONAL
2.4.13.567.2008.2-DSRCO,1.579.0,22,2008.06.15 00:00:00,1,NACIONAL
2.4.14.348.2006.7-DRCOT,1.551.0,18,2006.05.15 00:00:00,1,NACIONAL
2.5.14.103.2008.8-DOT,5.100.1,29,2008.08.08 00:00:00,0,NACIONAL
2.5.13.135.2008.3-DOT,5.595.0,31,2008.08.22 00:00:00,0,NACIONAL
2.6.14.159.2008.2-DOT,9.205.2,32,2008.08.29 00:00:00,0,
2.5.14.88.2008.2-DOT,5.71.1,29,2008.08.08 00:00:00,0,
2.4.14.443.2008.5-DSRCO,1.577.0,31,2008.08.08 00:00:00,0,NACIONAL
2.4.14.256.2008.7-DOT,1.551.0,41,2008.11.08 00:00:00,0,NACIONAL
2.5.14.313.2008.2-DOT,5.451.0,44,2008.11.29 00:00:00,0,NACIONAL
2.6.14.312.2008.2-DOT,9.287.0,44,2008.11.29 00:00:00,0,
2.5.14.330.2008.1-DOT,5.501.1,46,2008.12.15 00:00:00,1,NACIONAL
2.5.14.310.2008.8-DOT,5.78.0,45,2008.08.08 00:00:00,1,PLURIDISTRITAL
2.5.18.336.2008.2-DOT,5.587.0,47,2008.12.22 00:00:00,0,
2.4.14.32.2009.0-DOT,1.405.1,5,2009.02.08 00:00:00,0,PLURIDISTRITAL
2.4.14.62.2009.3-DOT,4.6.0,6,2009.02.15 00:00:00,0,NACIONAL
2.5.14.33.2009.2-DOT,5.34.0,5,2009.02.08 00:00:00,1,NACIONAL
2.4.14.61.2009.2-DOT,4.7.0,7,2009.02.22 00:00:00,1,NACIONAL
2.5.14.138.2009.8-DOT,5.58.2,12,2009.03.29 00:00:00,0,NACIONAL
2.5.14.179.2009.4-DOT,5.485.1,15,2009.04.22 00:00:00,1,NACIONAL
2.4.14.236.2009.6-DOT,1.516.2,18,2009.05.15 00:00:00,1,NACIONAL
2.5.18.271.2009.1-DOT,5.524.0,21,2009.06.08 00:00:00,0,
2.6.16.258.2009.5-DOT,9.668.0,21,2009.09.08 00:00:00,0,
2.5.14.375.2009.2-DOT,5.541.1,27,2009.07.22 00:00:00,0,NACIONAL
2.4.14.378.2009.4-DOT,1.498.1,27,2009.07.22 00:00:00,0,NACIONAL
2.6.18.358.2009.8-DOT,9.258.1,27,2009.07.22 00:00:00,0,
2.6.14.408.2009.0-DOT,9.655.0,29,2009.08.08 00:00:00,1,
2.5.14.462.2009.8-DOT,5.132.0,32,2009.08.29 00:00:00,0,NACIONAL
2.4.14.506.2009.6-DOT,1.477.0,38,2009.10.15 00:00:00,0,CONCELHIA
2.6.14.558.2009.6-DOT,9.21.1,42,2009.11.15 00:00:00,0,
2.6.16.54.2010.0-DOT,9.638.0,6,2010.02.15 00:00:00,0,
2.4.14.964.2010.6-DOT,1.443.2,26,2010.07.15 00:00:00,0,NACIONAL
2.6.14.963.2010.7-DOT,9.21.1,26,2010.07.15 00:00:00,0,
2.4.18.984.2010.3-DOT,1.575.0,26,2010.07.15 00:00:00,0,
