Nº Entrada,Data entrada,Entidade Sindical,Entidade Patronal,CAE,NIF,Designação,Início,Fim,Observações,ANO,MÊS
1,02-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes ,Metropolitano de Lisboa - EPE,49310,,Empresa,15-Jan,,"Greve entre as 6 e as 10H para a generalidade dos trab. e entre as 8 e as 12H para trab. Administrativos, apoio e técnicos superiores",2013,1
2,02-Jan,SMAQ - Sindicato Nacional dos Maquinistas dos Caminhos de Ferro portugueses,"MTS - Metro, Transportes do Sul, SA",49310,,Empresa,16-Jan,15-Feb,,2013,1
3,02-Jan,SENSIQ - Sindicato de Quadros e Técnicos,Metropolitano de Lisboa - EPE,49310,,Empresa,15-Jan,,Entre as 8:30 e as 12:30,2013,1
9,02-Jan,SFRCI - Sindicato Ferroviário da Revisão Comercial Itinerante ,"CP - Comboios de Portugal, EPE",49100,,Empresa,20-Jan,,,2013,1
10,03-Jan,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul","Lisnave - Estaleiros Navais, SA / Lisnaveyards - Naval Services, Lda.",33150,,2 Empresas,10-Jan,10-Jul,,2013,1
Nº 9,02-Jan-13,STSTA - Sindicato dos Trabalhadores do Sector Têxtil de Aveiro ,"Royal Label - Têxteis, Unipessoal Lda",14131,,Empresa,10-Jan-13,,,2013,1
17,07-Jan,SINFB - Sindicato Independente Nacional dos Ferroviários,"REFER - Rede Ferroviária Nacional, EPE / CP - Comboios de Portugal, EPE / CP Carga - Logística e Transportes Ferroviários de Mercadorias SA",52211 / 49100 / 49200,,3 Empresas,18-Jan,28-Feb,,2013,1
Nº 33-2,04-Jan-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"Transportes Silva Marques, Ldª.",49410,,Empresa,20-Jan-13,22-Jan-13,,2013,1
Nº 33-2,04-Jan-13,STRUN - Sindicato dos Trabalhadores de Transportes Rodoviários e Urbanos do Norte ,"TRACAR - Transportes de Carga e Comércio, S.A.",49410,,Empresa,20-Jan-13,22-Jan-13,,2013,1
24,08-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes ,Metropolitano de Lisboa - EPE,49310,,Empresa,22-Jan,,"Greve entre as 6 e as 10H para a generalidade dos trab. e entre as 8:30 e as 12:30H para trab. Administrativos, apoio e técnicos superiores",2013,1
Nº 39,07-Jan-13,"SITE-NORTE - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Norte","FPS - Fábrica Portuguesa de Segmentos, Ldª",78300,,Empresa,15-Jan-13,31-Dec-13,,2013,1
Nº 57,10-Jan-13,SINTAP - Sindicato dos Trabalhadores da Administração Pública ,Câmara Municipal de Coimbra,84113,,FP-Câmara,25-Jan-13,30-Jun-13,,2013,1
28 e 112,09-Jan,"SITE-CSRA - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro Sul e Regiões Autónomas","Sorel, S.A. / Stand Moderno",45110,,2 Empresas,17-Jan,TI,A partir das 15:30,2013,1
40 e Nº 66,10-01-2013 e 11-1-2013,STMT - Sindicato Têxtil do Minho e Trás-os-Montes,"ATP Associação Têxtil e Vestuário de Portugal / ANIVEC/APIV - Associação Nacional das Indústrias de Vestuário e Confecção / ANIT-LAR Associação Nacional das Indústrias de Têxteis-Lar / ANIL - Associação Nacional dos Industriais de Lanificios / ANASEL — Associação Nacional de Serviços de Limpeza a Seco, Lavandaria e Tinturaria / AICR – Associação dos Industriais de Cordoaria e Redes / Associação dos Indústriais de Chapelaria / e todo o âmbito e área estatutária do Sindicato",n,,Sectores,19-Jan,01-Jan,,2013,1
41,10-Jan,"SITE SUL - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Sul",SINDUFLEX-COMERCIALIZAÇÃO DE CONTENTORES E SISTEMAS INDUSTRIAIS FLEXIVEIS LDA (Trab. Colocados na Auto-Europa),43290,,Empresa,17-Jan,TI,Trab. Colocados na Auto-Europa,2013,1
42,10-Jan,SIESI - Sindicato das Indústrias Eléctricas do Sul e Ilhas,"KEMET ELECTRONICS PORTUGAL, SA",27900,,Empresa,17-Jan,18-Jan,,2013,1
54,14-Jan,SENSIQ - Sindicato de Quadros e Técnicos,Metropolitano de Lisboa - EPE,49310,,Empresa,29-Jan,,Das 8:30 às 12:30,2013,1
Nº 60,10-Jan-13,"SITE Centro Norte - Sindicato dos Trabalhadores das Indústrias Transformadoras, Energia e Actividades do Ambiente do Centro e Norte","Fábrica  Papel Cartão  Zarrinha, S.A",17211,,Empresa,07-Feb-13,28-Feb-13,"Greve 7, 14, 21 e 28 de Fevereiro de 2013 ( turnos: das 22 horas às 24 horas).",2013,1
55,14-Jan,FECTRANS - Federação dos Sindicatos de Transportes e Comunicações / STTM - Sindicato dos Trabalhadores da Tracção do Metropolitano / SINDEM - Sindicato da Manutenção do Metropolitano / SITRA - Sindicato dos Trabalhadores dos Transportes ,Metropolitano de Lisboa - EPE,49310,,Empresa,29-Jan,,"Greve entre as 6 e as 10H para a generalidade dos trab. e entre as 8:30 e as 12:30H para trab. Administrativos, apoio e técnicos superiores",2013,1
61 e nº 80,16-Jan,"STSSSS - Sindicato dos Trabalhadores da Saúde, Solidariedade e Segurança Social",Centro Social Infantil da Cruz de Pau,94991,,FP - Câmara,21-Jan,,Entre as 14:00 e as 19:30,2013,1
