Nº GREVE,DATA ENTRADA,SINDICATO,EMPREGADOR,CAE,NIF,SETOR,DIAS,DURAÇÃO,OBSERVAÇÕES,ANO,MÊS
DSRPN,13-Jan-15,SINDICATO DOS TRABALHADORES DO SECTOR TÊXTIL DA BEIRA BAIXA,Greve de Sector: Vestuário,,,Privado,,Por tempo indeterminado,,2015,1
DSRPN,13-Jan-15,SINDICATO DOS TRABALHADORES DO SECTOR TÊXTIL DA BEIRA BAIXA,Greve de Sector: Lanifícios e Têxteis-Lar,,,Privado,,Por tempo indeterminado,,2015,1
DSRPN,08-Jan-15,STAD,Lourilimpa (local de trabalho: Autocarros da Câmara Municipal de Coimbra),,,Privado,,Total + de 1 dia,,2015,1
DSRPN,09-Jan-15,"STIHTRSN - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE","Maria Paula Lino - Unipessoal, Lda",,,Privado,,Total 1 dia,,2015,1
DSRPN,13-Jan-15,SITE-NORTE,"Simseg - Componentes para Motores, Lda",,,Privado,,Por tempo indeterminado,,2015,1
DSRPN,13-Jan-15,"STIHTRSN - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO NORTE","Páteo da Foz, Lda (Local de trabalho: Hotel da Estação - Braga)",,,Privado,,Total 1 dia,,2015,1
DSRPN,14-Jan-15,SINPICVAT,"Condevest - Indústria de Confecções, Lda",,,Privado,,Total + de 1 dia,,2015,1
DSRPN,16-Jan-15,STAD,Vadeca (local de Trabalho: STCP Via Norte e Francos),,,Privado,,Total + de 1 dia,,2015,1
DSRPN,27-Jan-15,"SPRC;CESP;STIHTRSC - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO CENTRO",Escola Profissional Beira Aguieira,,,Privado,,Total + de 1 dia,,2015,1
DSRPN,22-Jan-15,SITE-CN,"Fábrica Papel Cartão Zarrinha, SA.",,,Privado,,Total + de 1 dia,,2015,1
DSRPN,23-Jan-15,STAD,Lourilimpa (local de trabalho: Autocarros da Câmara Municipal de Coimbra),,,Privado,,Total + de 1 dia,,2015,1
DSRPN,23-Jan-15,SITE-NORTE,"CNB/Camac - Companhia Nacional de Borracha, SA",,,Privado,,Por tempo indeterminado,DESCONVOCADA,2015,1
DSRPN,23-Jan-15,STAD,Vadeca (Local de Trabalho: Escritório no Edifício Centro Campanhã),,,Privado,,Total 1 dia,,2015,1
DSRPN,30-Jan-15,"STIHTRSC - SINDICATO DOS TRABALHADORES DA INDÚSTRIA DE HOTELARIA, TURISMO, RESTAURANTES E SIMILARES DO CENTRO","DGEST/Ministério da Esucação (refeitórios escolares dos Distritos de Coimbra, Aveiro, Leiria, Viseu, Guarda e Castelo Branco)",,,Setor Empresarial Estado,,Total + de 1 dia,,2015,1
DSRPN,30-Jan-15,STAD,"Câmara Municipal do Porto; Águas do Porto, EM; Porto Lazer, EM; SUMA;Invicta Ambiente, pessoal vinculado (*)",,,Setor Empresarial Estado,,Total 1 dia,,2015,1
DSRPN,31-Jan-15,SITE-NORTE,Grupo EFACEC,,,Privado,,Total + de 1 dia,,2015,1
