ID_ENTIDADE,NUMERO_ELEICAO,DATA_ELEICAO,INSCRITOS,VOTANTES,MESES_MANDATO,DATABTE,NUMBTE,SERIEBTE,NUMMAXEFECT,NUMMINEFECT,NUMMAXSUPL,NUMMINSUPL,NUM_H_EFECT,NUM_H_SUPL,NUM_M_EFECT,NUM_M_SUPL,PROCESSO
1.103.2,5,2009.11.21 00:00:00,,76,48,2010.01.08 00:00:00,1,0,,12,0,3,9,2,3,1,2.4.15.659.2009.7-DOT
1.103.2,4,2005.11.26 00:00:00,,,48,2006.03.29 00:00:00,12,1,,,,,,,,,2.4.15.67.2006.6-DRCOT
1.103.2,2,1997.11.30 00:00:00,150,150,36,1998.05.15 00:00:00,9,3,,,,,,,,,2.4.15.632.1998.5-DRCOT
1.103.2,3,2001.12.02 00:00:00,113,113,48,2002.02.08 00:00:00,5,1,,,,,,,,,2.4.15.36.2002.7-DRCOT
1.104.2,2,1997.04.20 00:00:00,156,156,36,1998.07.15 00:00:00,13,3,,,,,,,,,2.4.15.901.1998.4-DRCOT
1.104.2,3,2001.04.21 00:00:00,124,124,48,2001.07.08 00:00:00,25,1,,,,,,,,,2.4.15.816.2001.3-DRCOT
1.104.3,6,2013.04.07 00:00:00,,137,48,2013.05.15 00:00:00,18,0,22,22,8,8,20,7,2,1,2.4.15.305.2013.8-DOT
1.104.3,4,2005.04.17 00:00:00,,151,48,2005.05.29 00:00:00,20,1,,,,,,,,,2.4.15.440.2005.0-DRCOT
1.104.3,7,2017.06.02 00:00:00,,,48,2017.06.29 00:00:00,24,0,35,30,0,0,30,5,4,1,2.4.15.285.2017.1-DOT
1.104.3,5,2009.04.19 00:00:00,,141,48,2009.06.08 00:00:00,21,0,32,32,8,8,28,8,4,0,2.4.15.281.2009.7-DOT
1.105.0,1,1998.03.04 00:00:00,,,36,1998.04.15 00:00:00,7,3,,,,,,,,,2.4.15.424.1998.4-DRCOT
1.108.2,3,2002.06.07 00:00:00,,,36,2002.08.08 00:00:00,29,1,,,,,,,,,2.4.15.1120.2002.2-DRCOT
1.108.2,4,2007.07.14 00:00:00,,29,36,2007.10.15 00:00:00,38,1,9,9,0,0,6,0,3,0,2.4.15.996.2007.0-DRCOT
1.108.2,2,1999.04.09 00:00:00,,191,36,1999.09.29 00:00:00,36,1,,,,,,,,,2.4.15.1180.1999.5-DRCOT
1.108.2,1,1995.12.16 00:00:00,,48,36,1997.01.15 00:00:00,1,3,,,,,,,,,2.4.15.976.1996.5-DRCOT
1.108.3,5,2010.06.12 00:00:00,,9,36,2010.10.29 00:00:00,40,0,5,5,0,0,4,0,5,0,2.4.15.1215.2010.6-DOT
1.108.3,5,2010.06.12 00:00:00,,9,36,2010.10.29 00:00:00,40,0,5,0,2,0,4,0,1,0,2.4.15.1215.2010.6-DOT
1.11.0,4,2010.01.07 00:00:00,1752,272,36,2010.02.15 00:00:00,6,0,13,13,3,3,9,4,4,5,2.4.15.48.2010.0-DOT
1.11.0,2,2004.12.15 00:00:00,2837,866,24,2005.01.22 00:00:00,3,1,,,,,,,,,2.4.15.5.2005.6-DRCOT
1.11.0,5,2014.12.18 00:00:00,1417,1317,36,2015.02.15 00:00:00,6,0,13,13,0,0,6,6,7,3,2.4.15.54.2015.2-DOT
1.11.0,6,2018.02.21 00:00:00,,443,36,2018.04.08 00:00:00,13,0,13,13,9,9,6,4,7,5,2.4.15.181.2018.6-DOT
1.11.0,3,2007.06.20 00:00:00,6783,732,24,2007.07.22 00:00:00,27,1,15,,6,,6,6,9,9,2.4.15.723.2007.6-DRCOT
1.110.0,5,2011.04.14 00:00:00,,11309,48,2011.06.08 00:00:00,21,0,11,0,2,0,10,1,1,1,2.4.15.437.2011.3-DOT
1.110.0,4,2007.04.19 00:00:00,0,0,48,2007.06.08 00:00:00,21,1,9,9,4,4,6,4,3,0,2.4.15.468.2007.3-DRCOT
1.110.0,3,2003.04.10 00:00:00,,,48,2003.08.08 00:00:00,29,1,,,,,,,,,2.4.15.996.2003.5-DRCOT
1.110.0,1,1997.04.22 00:00:00,49653,25056,36,1997.08.15 00:00:00,15,3,,,,,,,,,2.4.15.862.1997.0-DRCOT
1.110.0,2,2000.04.12 00:00:00,19716,19716,36,2000.06.15 00:00:00,22,1,,,,,,,,,2.4.15.775.2000.6-DRCOT
1.110.0,7,2019.04.11 00:00:00,,,48,2019.06.08 00:00:00,21,0,11,11,2,2,10,0,3,0,2.4.15.284.2019.2-DOT
1.110.0,6,2015.04.23 00:00:00,,,48,2015.06.15 00:00:00,22,0,11,11,2,2,10,0,1,2,2.4.15.331.2015.0-DOT
1.113.1,1,1997.06.26 00:00:00,,310,36,1997.08.15 00:00:00,15,3,,,,,,,,,2.4.15.806.1997.7-DRCOT
1.113.1,2,2000.06.16 00:00:00,,256,48,2000.07.15 00:00:00,26,1,,,,,,,,,2.4.15.980.2000.4-DRCOT
