ID_ENTIDADE,SIGLA,NOME_ENTIDADE,CODIGOPOSTAL_ENTIDADE,ID_DISTRITO,DISTRITO_DESCRICAO,ESTADO_ENTIDADE
1.1.1, ,SINDICATO DOS TRAB. DA PESCA DO DIST. DE SETÚBAL,2900,15,DISTRITO DE SETÚBAL,Cancelada
1.10.0,STRDB,SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DIST. DE BEJA,7800,2,DISTRITO DE BEJA,Cancelada
1.100.0, ,"SINDICATO DAS IND. DE OURIVESARIA, RELOJOARIA E CORRELATIVOS DO SUL",1200,11,DISTRITO DE LISBOA,Cancelada
1.101.0,,SINDICATO DOS TRAB. DA IND. CORTICEIRA DO DIST. DE LISBOA,1900,11,DISTRITO DE LISBOA,Cancelada
1.102.0, ,SINDICATO DOS TRAB. DAS IND. DE PANIFICAÇÃO E PRODUTOS ALIMENTARES AFINS DO DIST. DE LISBOA,1000,11,DISTRITO DE LISBOA,Cancelada
1.103.2,SETAA,"SINDICATO DA AGRICULTURA, ALIMENTAÇÃO E FLORESTAS",1170-105,11,DISTRITO DE LISBOA,Cancelada
1.104.3,SITRA,SINDICATO DOS TRAB. DOS TRANSPORTES -SITRA,1200-129,11,DISTRITO DE LISBOA,Ativa
1.105.0,,SINDICATO DOS FERROVIÁRIOS DO SUL,2830,15,DISTRITO DE SETÚBAL,Cancelada
1.106.0, ,SINDICATO DOS OPERÁRIOS DAS IND. DE MADEIRAS DO DIST. DE VIANA DO CASTELO,4900,16,DISTRITO DE VIANA DO CASTELO,Cancelada
1.107.2, ,"SINDICATO DOS TRAB. DAS IND. DE CALÇADO, MALAS, LUVAS , COMPONENTES E SIMILARES DO CENTRO, SUL E ILHAS",L200,11,DISTRITO DE LISBOA,Cancelada
1.108.3,SITECIS,"SINDICATO INDEPENDENTE DOS TRABALHADORES DE ESCRITÓRIO, COMÉRCIO, INFORMÁTICA  E SERVIÇOS DA REGIÃO SUL",2900-485,15,DISTRITO DE SETÚBAL,Ativa
1.109.0, ,SINDICATO TÊXTIL DO DIST. DE LEIRIA,2460,10,DISTRITO DE LEIRIA,Cancelada
1.11.0,,SINDICATO DOS JORNALISTAS,1249-059,11,DISTRITO DE LISBOA,Ativa
1.110.0,,SINDICATO DOS BANCÁRIOS DO SUL E ILHAS,1169-046,11,DISTRITO DE LISBOA,Ativa
1.111.1, ,SINDICATO DOS TRANSPORTES RODOVIÁRIOS DO DIST. DO PORTO,4000,13,DISTRITO DO PORTO,Cancelada
1.112.1, ,SINDICATO DOS TRAB. DAS IND. ALIMENTARES DE HIDRATOS DE CARBONO DO NORTE,4000,13,DISTRITO DO PORTO,Cancelada
1.113.1,,SINDICATO DOS TRAB. DE TRANSPORTES RODOVIÁRIOS DE AVEIRO,3720,1,DISTRITO DE AVEIRO,Cancelada
1.114.1, ,SINDICATO DOS TRAB. DA IND. DE CHAPELARIA,3700,1,DISTRITO DE AVEIRO,Cancelada
1.115.0, ,"SINDICATO DA TAPEÇARIA, CORDOARIA E SIMILARES DO NORTE",4000,13,DISTRITO DO PORTO,Cancelada
1.116.0, ,"SINDICATO DOS OPERÁRIOS ESTUCADORES, TROLHAS E PINTORES DO DIST. DO PORTO",4000,13,DISTRITO DO PORTO,Cancelada
1.117.0,AVIAÇÃO,SINDICATO NACIONAL DO PESSOAL DE VÔO DA AVIAÇÃO CIVIL,1700-031,11,DISTRITO DE LISBOA,Ativa
1.118.2,,SINDICATO NACIONAL DOS PROFISSIONAIS  DE SERVIÇO SOCIAL,1150-205,11,DISTRITO DE LISBOA,Cancelada
1.119.1,STT,SINDICATO DOS TRAB. DE TELECOMUNICAÇÕES E COMUNICAÇÃO AUDIOVISUAL,1700-165,11,DISTRITO DE LISBOA,Ativa
