PROCESSO,COD_ASSUNTO,ASSUNTO,DESIGNACAO,TITULO,DATA_ABERTURA_PROCESSO
2.6.17.39.2003.6-DRCOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,CT BACHO OBERG FERRAMENTAS SA,2003.01.17 00:00:00
2.5.85.42.2003.4-DRCOT,132,ESTATUTOS,ANULAÇÃO DE NORMAS DE ESTATUTOS OU DE DELIBERAÇOES,ASSOCIAÇÃO  PORTUGUESA DAS EMPRESAS DE MEDIAÇÃO IMOBILIÁRIA - APEMI,2003.01.20 00:00:00
2.5.15.43.2003.7-DRCOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASS NAC DOS INDUSTRIAIS DE PAPEL E CARTÃO,2003.01.21 00:00:00
2.4.13.44.2003.5-DRCOT,121,CONSTITUIÇÃO DE ASS. SINDICAL,CONSTITUIÇÃO DE ASS. SINDICAL,SINDICATO NACIONAL DE OFICIAIS DE POLÍCIA - SNOP,2003.01.21 00:00:00
2.6.17.45.2003.3-DRCOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,PREVENÇÃO RODOVIÁRIA PORTUGUESA,2003.01.21 00:00:00
2.5.15.639.2003.0-DRCOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,ASSOCIAÇÃO PORTUGUESA DE BANCOS,2003.05.16 00:00:00
2.5.14.640.2003.0-DRCOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. PATRONAL, ANCAVE - CE278,2003.05.16 00:00:00
2.4.14.645.2003.4-DRCOT,123,ALTERAÇÃO DE ESTATUTOS,ALTERAÇÃO DE ESTATUTOS DE ASS. SINDICAL,SINDICATO DOS TÉCNICOS DA ACTIVIDADE SEGURADORA,2003.05.19 00:00:00
2.5.15.651.2003.3-DRCOT,120,ELEIÇÃO DE CORPOS GERENTES,ELEIÇÃO DE CORPOS GERENTEES DE ASS. PATRONAL,AHP,2003.05.21 00:00:00
2.6.17.652.2003.7-DRCOT,130,ELEIÇÃO DE COMISSÕES DE TRABALHADORES,ELEIÇÃO DE COM. DE TRABALHADORES,"C.T.-FUNFRAP-FUNDIÇÃO PORTUGUESA,S.A.",2003.05.21 00:00:00
