Nome_Org;Website
SOCIEDADE TÉCNICA DE EQUIPAMENTOS E TRACTORES, SA;https://pt.kompass.com/c/stet-sociedade-tecnica-de-equipamentos-e-tractores-s-a/pt003834/
PUBLICAÇÕES PRODIÁRIO, SA;http://directorio.iol.pt/publicacoes-prodiario-s-a--335837.htm
ASSOCIAÇAO NACIONAL DOS ÓPTICOS;https://www.ano.com.pt/
COMUNICAÇÃO SOCIAL, SA;https://empresite.jornaldenegocios.pt/PUBLICO-COMUNICACAO-SOCIAL.html
INSTITUTO NACIONAL DE ESTATÍSTICA;https://www.ine.pt/
FEDERAÇÃO DAS INDÚSTRIAS DE ÓLEOS VEGETAIS, DERIVADOS E EQUIPARADOS;http://www.fiovde.pt/
INDÚSTRIAS DE DEFESA, SA;https://www.iddportugal.pt/
CIRCULO DE LEITORES;https://www.circuloleitores.pt/
KNORR BESTFOODS PORTUGAL-PRODUTOS ALIMENTARES, SA;https://www.municipiosefreguesias.pt/entidade/561517/knorr-bestfoods-portugal---produtos-alimentares--sa
ROYAL & SUN ALLIANCE INSURANCE, PLC;https://www.royal.uk/
FÁBRICA DE CERÂMICA VIÚVA LAMEGO, LDA;https://www.viuvalamego.com/en/handmade/
EDIPIM ESTÚDIOS - PRODUÇÕES VÍDEO E AUDIO, LDA;https://www.tuugo.pt/Companies/edipim-estudios-produ%C3%A7%C3%B5es-video-e-audio-lda/0240003592792
CILAG FARMACÊUTICA, LD.ª;https://www.janssen.com/portugal/sobre-a-janssen/contactos
CENTRO DE FORMAÇÃO PROFISSIONAL DA REPARAÇÃO AUTOMÓVEL;https://www.cepra.pt/
ABB MAGUE - EQUIPAMENTOS PARA ENERGIA E AMBIENTE, SA;https://www.abborges.pt/pt/13-internacional/6-energia-ilimitada-sa/
ESTABELECIMENTOS RODRIGUES & RODRIGUES, SA;https://ephemerajpp.com/2016/12/18/estabelecimentos-rodrigues-rodrigues-sarl/
CONFEDERAÇÃO GERAL DE TRABALHADORES PORTUGUESES;http://www.cgtp.pt/
LABORATÓRIOS NORMAL - PRODUTOS FARMACÊUTICOS, LDª;https://www.atlasdasaude.pt/publico/content/laboratorio-normal-produtos-farmaceuticos-lda
MÚTUA DOS PESCADORES;https://www.mutuapescadores.pt/
INFORMÁTICA, LDª;http://www.inforlixa.pt/
SOCIEDADE DE TRANSPORTES, SA;https://pt-pt.facebook.com/transniza/
MOCAR, SA;https://www.santogal.pt/pagina-santogal/
PLUVIA, SOCIEDADE INDÚSTRIAL DE CONFECÇÕES, LDA;https://www.europages.pt/PLUVIA-SOCIEDADE-INDUSTRIAL-DE-CONFECCOES-LDA/PRT015860-00101.html
SOCIEDADE DE MONTAGENS E METALOMECÂNICAS, SA;http://www.smm.com.pt/pt/
RENAULT CHELAS-COMÉRCIO E REPARAÇÃO DE VEÍCULOS, LDA;https://codigopostal.ciberforma.pt/dir/503758809/renault-retail-group-chelas-comercio-e-reparacao-d/
ALIANÇA UAP-COMPANHIA DE SEGUROS DE VIDA, SA;https://www.asf.com.pt/ISP/ISP_Historico_seguros_final/conteudos/arvore_2_AXA_VIDA.pdf
ASSOCIAÇAO PORTUGUESA DOS GROSSISTAS DE HORTOFRUTÍCOLAS E DOS OPERADORES DOS MERCADOS ABASTECEDORES;https://empresite.jornaldenegocios.pt/ANAIEF-ASSOCIACAO-PORTUGUESA-GROSSISTAS-HORTOFRUTICOLAS-OPERADORES-MERCADOS-ABASTECEDORES-LOURES.html
EMBALAGEM DE VIDRO, SA;https://www.bavidro.com/pt/historia.php
PILLAR PORTUGUESA (ALUMÍNIO) - PORTALEX, SA;https://www.portalex.eu/
ESTUDOS, DESENVOLVIMENTO E ACTIVIDADES LABORATORIAIS, SA;https://labelec.edp.com/pt-pt
INDÚSTRIAS ELÉCTRICAS BATISTA RUSSO,SA;https://restosdecoleccao.blogspot.com/2017/11/francisco-batista-russo-irmao.html
EMBALAGENS DE PORTUGAL VAN LEER, LDª;https://www.guiadacidade.pt/en/e/embalagens-de-portugal-van-leer-lda-1198242
CPPE - Cª PORTUGUESA DE PRODUÇÃO DE ELECTRICIDADE, SA;https://codigopostal.ciberforma.pt/dir/0/cppe-companhia-portuguesa-de-producao-de-electrici/
EQUIPAMENTOS PARA DESENVOLVIMENTO DE EMPRESAS,SA;https://www.jaaqui.pt/empresa/copinaque-equipamentos-para-desenvolvimento-de-empresas-sa/detalhe/288552
ASSOCIAÇAO NACIONAL DOS INDÚSTRIAIS DE ENSINO DE CONDUÇÃO AUTOMÓVEL;http://www.imt-ip.pt/sites/IMTT/Portugues/EnsinoConducao/entidadesFormadoras/Paginas/ANIECA-AssociacaoNacionalIndustriaisdeEnsinoConducaoAutomovel.aspx
BP PORTUGAL - COMÉRCIO DE COMBUSTÍVREIS E LUBRIFICANTES, SA;https://www.bp.com/pt_pt/portugal/home.html
ASSOCIAÇAO DE COMERCIO DA LOURINHÃ;http://www.aciro.pt/
ESCOLA ST DOMINICS INTERNATIONAL SCHOOL, VERITAS EDUCATIO - EDUCAÇÃO E SERVIÇOS, SA;https://www.dominics-int.org/
ASSOCIAÇAO DE AUTO-PRODUTORES DE ALIMENTOS COMPOSTOS PARA ANIMAIS;http://www.dgv.min-agricultura.pt/xeov21/attachfileu.jsp?look_parentBoui=33680577&att_display=n&att_download=y
ASSOCIAÇAO PORTUGUESA DOS FORNECEDORES DE ARTIGOS DE ÓPTICA;https://empresite.jornaldenegocios.pt/ASSOCIACAO-PORTUGUESA-FORNECEDORES-ARTIGOS-OPTICA.html
LEDR INGENIERIA Y SERVICIOS SL - SUCURSAL EM PORTUGAL;https://empresite.jornaldenegocios.pt/LEDR-INGENIERIA-SERVICIOS-SL-SUCURSAL-PORTUGAL-LISBOA.html
ASSOCIAÇAO NACIONAL DE EMPRESAS FLORESTAIS, AGRICOLAS E DO AMBIENTE;http://www.anefa.pt/
ASSOCIAÇAO DOS PRODUTORES DE UVA DE MESA DA REGIÃO DO CARREGADO;https://expresso.pt/economia/2018-08-11-Uva-do-Carregado-quer-rivalizar-com-a-Vale-da-Rosa
ASSOCIAÇAO PORTUGUESA DOS INDÚSTRIAIS DE ALIMENTOS COMPOSTOS PARA ANIMAIS;https://www.iaca.pt/
ASSOCIAÇAO DOS AGRICULTORES DO CONCELHO DE MAFRA;https://www.cm-mafra.pt/pages/1287?poi_id=154
ESTORIL SOL (III) - TURISMO, ANIMAÇÃO E JOGO, SA;https://empresite.jornaldenegocios.pt/ESTORIL-SOL-III-TURISMO-ANIMACAO-JOGO.html
