Nome_Org;Website
CONFEDERAÇAO SINDICAL DA EDUCAÇAO DOS PAISES DE LINGUA PORTUGUESA;https://www.cplp.org/id-4273.aspx?PID=10110&M=NewsV2&Action=1&NewsId=5749&currentPage=2
SINDICATO DOS MÉDICOS DA ZONA SUL (SMZS);https://www.smzs.pt/
SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS DO MUNICIPIO DE OEIRAS E DE ENTIDADES PUBLICAS E SOCIAIS DA AREA METROPLITANA DE LISBOA;https://dre.pt/home/-/dre/115147920/details/maximized
SINDICATO DOSEDUCADORES E PROFESSORES DO ENSINO BÁSICO;http://www.sippeb.pt/
SINDICATO INDEPENDENTE LIVRE DA POLICIA;https://empresite.jornaldenegocios.pt/SILP-SINDICATO-INDEPENDENTE-LIVRE-POLICIA.html
FEDERAÇÃO PORTUGUESA DOS SINDICATOS DA CONSTRUÇÃO, CERÂMICA E VIDRO;http://sindicatos.cgtp.pt/feviccom/
SINDICATO DOS TRANSPORTES FERROVIÁRIOS;http://www.stferroviarios.com/
FEDERAÇÃO NACIONAL DE FERROVIÁRIOS;https://sntsf.pt/
UNIÃO DOS SINDICATOS DA AMADORA;https://uniaolisboa-cgtp.pt/delegacoes-da-usl/amadora
SINDICATO DAS INDÚSTRIAS ELÉCTRICAS DO SUL E ILHAS;https://www.siesi.pt/
FEDERAÇAO PORTUGUESA DOS PROFISSIONAIS DA EDUCAÇÃO, ENSINO, CULTURA E INVESTIGAÇÃO;http://www.arlindovsky.net/wp-content/uploads/2016/02/rEUNI%C3%83OMecfEV.pdf
SINDICATO NACIONAL DOS TÉCNICOS DE SAÚDE;https://www.stss.pt/web/
FEDERAÇÃO INTERSINDICAL DAS INDÚSTRIAS METALÚRGICAS, QUÍMICAS, ELÉTRICAS, FARMACÊUTICA, CELULOSE, PAPEL GRÁFICA, IMPRENSA, ENERGIA E MINAS;https://www.fiequimetal.pt/
SINDICATO DOS TRABALHADORES DA INDÚSTRIA CORTICEIRA DO DISTRITO DE LISBOA;https://empresite.jornaldenegocios.pt/SINDICATO-TRABALHADORES-INDUSTRIA-CORTICEIRA-DISTRITO-SETUBAL.html
SINDICATO NACIONAL DOS MOTORISTAS DE TAXIS E AUTOMÓVEIS ALUGUER LIGEIROS DE PASSAGEIROS;http://www.cm-vidigueira.pt/susProjects/susWebBackOffice/uploadFiles/cmvidigueira_pt_sus/componentPdf/SUS55D43A709D0B0/ALUGUER_DE_VEICULOS_TAXI.PDF
FEDERAÇÃO PORTUGUESA DE PROFESSORES;https://federacaodosprofessores.com/
FEDERAÇÃO SINDICAL DAS COMUNICAÇÕES;https://www.dn.pt/lusa/criada-federacao-sindical-independente-das-comunicacoes-e-transportes-8941933.html
SINDICATO DOS TRABALHADORES DAS INDÚSTRIAS DE CELULOSE, PAPEL, GRÁFICA E IMPRENSA;https://www.fiequimetal.pt/index.php/sobre-nos
