DD;CC;DESIG
01;06;CASTELO DE PAIVA
01;07;ESPINHO
01;08;ESTARREJA
01;09;SANTA MARIA DA FEIRA
01;10;ÍLHAVO
01;11;MEALHADA
01;12;MURTOSA
01;13;OLIVEIRA DE AZEMÉIS
01;14;OLIVEIRA DO BAIRRO
01;15;OVAR
01;16;SÃO JOÃO DA MADEIRA
01;17;SEVER DO VOUGA
01;18;VAGOS
01;19;VALE DE CAMBRA
01;01;ÁGUEDA
01;02;ALBERGARIA-A-VELHA
01;03;ANADIA
01;04;AROUCA
01;05;AVEIRO
02;06;CASTRO VERDE
02;07;CUBA
02;08;FERREIRA DO ALENTEJO
02;09;MÉRTOLA
02;10;MOURA
02;11;ODEMIRA
02;12;OURIQUE
02;13;SERPA
02;14;VIDIGUEIRA
02;01;ALJUSTREL
02;02;ALMODÔVAR
02;03;ALVITO
02;04;BARRANCOS
02;05;BEJA
03;06;ESPOSENDE
03;07;FAFE
03;08;GUIMARÃES
03;09;PÓVOA DE LANHOSO
03;10;TERRAS DE BOURO
03;11;VIEIRA DO MINHO
03;12;VILA NOVA DE FAMALICÃO
03;13;VILA VERDE
03;14;VIZELA
03;01;AMARES
03;02;BARCELOS
03;03;BRAGA
03;04;CABECEIRAS DE BASTO
03;05;CELORICO DE BASTO
04;06;MIRANDA DO DOURO
04;07;MIRANDELA
04;08;MOGADOURO
04;09;TORRE DE MONCORVO
04;10;VILA FLOR
04;11;VIMIOSO
04;12;VINHAIS
04;01;ALFÂNDEGA DA FÉ
04;02;BRAGANÇA
04;03;CARRAZEDA DE ANSIÃES
04;04;FREIXO DE ESPADA À CINTA
04;05;MACEDO DE CAVALEIROS
05;06;OLEIROS
05;07;PENAMACOR
05;08;PROENÇA-A-NOVA
05;09;SERTÃ
05;10;VILA DE REI
05;11;VILA VELHA DE RÓDÃO
05;01;BELMONTE
05;02;CASTELO BRANCO
05;03;COVILHÃ
05;04;FUNDÃO
05;05;IDANHA-A-NOVA
06;06;GÓIS
06;07;LOUSÃ
06;08;MIRA
06;09;MIRANDA DO CORVO
06;10;MONTEMOR-O-VELHO
06;11;OLIVEIRA DO HOSPITAL
06;12;PAMPILHOSA DA SERRA
06;13;PENACOVA
06;14;PENELA
06;15;SOURE
06;16;TÁBUA
06;17;VILA NOVA DE POIARES
06;01;ARGANIL
06;02;CANTANHEDE
06;03;COIMBRA
06;04;CONDEIXA-A-NOVA
06;05;FIGUEIRA DA FOZ
07;06;MONTEMOR-O-NOVO
07;07;MORA
07;08;MOURÃO
07;09;PORTEL
07;10;REDONDO
